protein1 protein2 experimental database textmining combined_score
511145.b0036 511145.b3072 261 0 65 279
511145.b0036 511145.b1235 246 0 0 245
511145.b0036 511145.b3529 261 0 0 261
511145.b0036 511145.b3619 242 0 0 241
511145.b0036 511145.b1778 243 0 0 242
511145.b0036 511145.b3307 452 0 0 452
511145.b0036 511145.b3303 459 0 0 459
511145.b0036 511145.b0169 455 0 68 470
511145.b0036 511145.b3319 457 0 0 457
511145.b0036 511145.b4112 215 0 0 215
511145.b0036 511145.b3299 348 0 0 347
511145.b0036 511145.b3311 455 0 0 455
511145.b0036 511145.b2786 555 0 67 567
511145.b0036 511145.b3342 446 0 0 446
511145.b0036 511145.b3317 455 0 0 455
511145.b0036 511145.b2016 242 0 0 241
511145.b0036 511145.b1000 256 0 0 256
511145.b0036 511145.b1656 283 0 44 285
511145.b0036 511145.b4506 348 0 0 347
